source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,market_timing_estimate,fantasypros_adp,rotowire_adp,fallback_adp,adp_method,notes
workspace-baseline-2026,690928,,Hunter Dobbins,STL,507.0,542,10-team dynasty startup snake,Reserve / Late,,,507.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670764,,Taylor Walls,TB,508.0,543,10-team dynasty startup snake,Reserve / Late,,,508.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669387,,Carmen Mlodzinski,PIT,509.0,544,10-team dynasty startup snake,Reserve / Late,,,509.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656464,,Kevin Ginkel,AZ,510.0,545,10-team dynasty startup snake,Reserve / Late,,,510.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686681,,Michael Massey,KC,511.0,546,10-team dynasty startup snake,Reserve / Late,,,511.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663698,,Joey Bart,PIT,512.0,547,10-team dynasty startup snake,Reserve / Late,,,512.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676369,,Nelson Velazquez,STL,513.0,548,10-team dynasty startup snake,Reserve / Late,,,513.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,543309,,Kyle Higashioka,TEX,514.0,549,10-team dynasty startup snake,Reserve / Late,,,514.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666374,,Matt Brash,SEA,515.0,550,10-team dynasty startup snake,Reserve / Late,,,515.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695336,,Thomas Saggese,STL,516.0,551,10-team dynasty startup snake,Reserve / Late,,,516.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,489446,,Kirby Yates,LAA,517.0,552,10-team dynasty startup snake,Reserve / Late,,,517.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680802,,Ryan Weiss,HOU,518.0,553,10-team dynasty startup snake,Reserve / Late,,,518.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663853,,Romy Gonzalez,BOS,519.0,554,10-team dynasty startup snake,Reserve / Late,,,519.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,678606,,Jose A. Ferrer,SEA,522.0,555,10-team dynasty startup snake,Reserve / Late,,,522.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686993,,Justin Sterner,ATH,523.0,556,10-team dynasty startup snake,Reserve / Late,,,523.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,455119,,Chris Martin,TEX,524.0,557,10-team dynasty startup snake,Reserve / Late,,,524.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663968,,Jake Mangum,PIT,525.0,558,10-team dynasty startup snake,Reserve / Late,,,525.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,595879,,Javier Baez,DET,526.0,559,10-team dynasty startup snake,Reserve / Late,,,526.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,596133,,Luke Weaver,NYM,527.0,560,10-team dynasty startup snake,Reserve / Late,,,527.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676356,,Jonny DeLuca,TB,528.0,561,10-team dynasty startup snake,Reserve / Late,,,528.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681911,,Alex Vesia,LAD,529.0,562,10-team dynasty startup snake,Reserve / Late,,,529.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621111,,Walker Buehler,SD,530.0,563,10-team dynasty startup snake,Reserve / Late,,,530.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656288,,Griffin Canning,SD,532.0,564,10-team dynasty startup snake,Reserve / Late,,,532.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663687,,Hogan Harris,ATH,533.0,565,10-team dynasty startup snake,Reserve / Late,,,533.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,622761,,Jorge Mateo,ATL,534.0,566,10-team dynasty startup snake,Reserve / Late,,,534.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677649,,Ezequiel Duran,TEX,535.0,567,10-team dynasty startup snake,Reserve / Late,,,535.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680686,,Josiah Gray,WSH,537.0,568,10-team dynasty startup snake,Reserve / Late,,,537.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668941,,JoJo Romero,STL,538.0,569,10-team dynasty startup snake,Reserve / Late,,,538.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672724,,Oswald Peraza,LAA,539.0,570,10-team dynasty startup snake,Reserve / Late,,,539.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669372,,J.T. Ginn,ATH,540.0,571,10-team dynasty startup snake,Reserve / Late,,,540.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682227,,Brandon Williamson,CIN,541.0,572,10-team dynasty startup snake,Reserve / Late,,,541.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665953,,Andres Chaparro,WSH,542.0,573,10-team dynasty startup snake,Reserve / Late,,,542.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621237,,Jose Alvarado,PHI,543.0,574,10-team dynasty startup snake,Reserve / Late,,,543.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,807799,,Masataka Yoshida,BOS,544.0,575,10-team dynasty startup snake,Reserve / Late,,,544.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669371,,Cole Henry,WSH,545.0,576,10-team dynasty startup snake,Reserve / Late,,,545.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669326,,Bryce Teodosio,LAA,546.0,577,10-team dynasty startup snake,Reserve / Late,,,546.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676477,,Garrett Whitlock,BOS,547.0,578,10-team dynasty startup snake,Reserve / Late,,,547.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642100,,Gabe Speier,SEA,548.0,579,10-team dynasty startup snake,Reserve / Late,,,548.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665804,,Miguel Amaya,CHC,549.0,580,10-team dynasty startup snake,Reserve / Late,,,549.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681892,,Kody Funderburk,MIN,550.0,581,10-team dynasty startup snake,Reserve / Late,,,550.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,643410,,Mark Leiter Jr.,ATH,551.0,582,10-team dynasty startup snake,Reserve / Late,,,551.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,623454,,Drew Anderson,DET,552.0,583,10-team dynasty startup snake,Reserve / Late,,,552.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669330,,Tyler Wells,BAL,553.0,584,10-team dynasty startup snake,Reserve / Late,,,553.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,502671,,Paul Goldschmidt,NYY,554.0,585,10-team dynasty startup snake,Reserve / Late,,,554.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686563,,Jonathan Cannon,CHW,555.0,586,10-team dynasty startup snake,Reserve / Late,,,555.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663624,,Ryan Mountcastle,BAL,556.0,587,10-team dynasty startup snake,Reserve / Late,,,556.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665877,,Jose Fermin,STL,557.0,588,10-team dynasty startup snake,Reserve / Late,,,557.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,516782,,Starling Marte,KC,558.0,589,10-team dynasty startup snake,Reserve / Late,,,558.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,801139,,Payton Tolle,BOS,559.0,590,10-team dynasty startup snake,Reserve / Late,,,559.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686973,,Louis Varland,TOR,560.0,591,10-team dynasty startup snake,Reserve / Late,,,560.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669062,,Erik Miller,SF,561.0,592,10-team dynasty startup snake,Reserve / Late,,,561.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669276,,Dylan Lee,ATL,562.0,593,10-team dynasty startup snake,Reserve / Late,,,562.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680779,,Henry Davis,PIT,563.0,594,10-team dynasty startup snake,Reserve / Late,,,563.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677592,,Everson Pereira,CWS,564.0,595,10-team dynasty startup snake,Reserve / Late,,,564.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680700,,Richie Palacios,TB,565.0,596,10-team dynasty startup snake,Reserve / Late,,,565.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676710,,Kutter Crawford,BOS,566.0,597,10-team dynasty startup snake,Reserve / Late,,,566.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670970,,Adrian Morejon,SD,567.0,598,10-team dynasty startup snake,Reserve / Late,,,567.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,592122,,Tyler Austin,CHC,568.0,599,10-team dynasty startup snake,Reserve / Late,,,568.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676534,,Calvin Faucher,MIA,570.0,600,10-team dynasty startup snake,Reserve / Late,,,570.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,690022,,Ryan Ritter,COL,572.0,601,10-team dynasty startup snake,Reserve / Late,,,572.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682177,,Daniel Schneemann,CLE,573.0,602,10-team dynasty startup snake,Reserve / Late,,,573.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,673929,,Jordan Leasure,CWS,574.0,603,10-team dynasty startup snake,Reserve / Late,,,574.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,518585,,Fernando Cruz,NYY,575.0,604,10-team dynasty startup snake,Reserve / Late,,,575.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
